SHAC.SunICRF.X            SHAC.SunICRF.Y            SHAC.SunICRF.Z            SHAC.Sun.RMAG             SHAC.SunICRF.VMAG         SHAC.SunICRF.FPA          SHAC.Sun.ECC              SHAC.Sun.SMA              SHAC.ElapsedDays          
-139242969.0930217        45597753.47738701         19775896.90847434         147847372.8632313         66.80876125504852         102.983165824749          3.877395060150538         -49739537.71117014        0.2707486165963928        
-139247617.1091113        45561136.63056862         19760262.23522013         147838371.2208697         66.80929264213049         102.9710265860963         3.877354208193123         -49740251.85388005        0.2776930610416457        
-139252263.0777317        45524519.26695436         19744627.33593917         147829377.7819287         66.80983735206718         102.9588882487665         3.877315347533021         -49740931.20900373        0.2846375054868986        
-139256906.9979169        45487901.37940793         19728992.20762584         147820392.5446614         66.81039438644832         102.9467506567775         3.877278335910377         -49741578.25983965        0.2915819499321515        
-139261548.8687362        45451282.96132641         19713356.84749917         147811415.5075541         66.81096283973726         102.9346136684051         3.87724304430723          -49742195.25871971        0.2985263943774044        
-139266188.6892907        45414664.00659143         19697721.25298222         147802446.6693055         66.81154188871064         102.9224771545985         3.877209355441375         -49742784.25325862        0.3054708388153813        
-139270826.4587106        45378044.50952546         19682085.42168374         147793486.0288072         66.81213078330742         102.9103409976016         3.877177162461226         -49743347.10910279        0.3124152832606342        
-139275462.1761534        45341424.46485317         19666449.35138187         147784533.5851272         66.81272883867226         102.8982050897509         3.877146367811152         -49743885.52971056        0.3193597277058871        
-139280095.8408008        45304803.86766682         19650813.0400096          147775589.3374945         66.81333542821532         102.8860693324244         3.877116882241756         -49744401.07360684        0.3263041721511399        
-139284727.4518577        45268182.71339533         19635176.48564173         147766653.285286          66.81394997754037         102.8739336351182         3.877088623944018         -49744895.16948058        0.3332486165963928        
-139289357.0085497        45231560.99777658         19619539.6864832          147757725.4280137         66.81457195911663         102.8617979146353         3.877061517789558         -49745369.12943286        0.3401930610416457        
-139293984.5101285        45194938.71681613         19603902.64085156         147748805.7653147         66.8152008875913          102.8496620943649         3.877035494662341         -49745824.16063278        0.3471375054868986        
-139298609.9558439        45158315.86682976         19588265.3471956          147739894.2969395         66.81583631564972         102.8375261036653         3.877010490868111         -49746261.37561285        0.3540819499321515        
-139303233.3449823        45121692.44432582         19572627.80404469         147730991.0227457         66.81647783036168         102.8253898772776         3.876986447613886         -49746681.8013551         0.3610263943774044        
-139307854.676832         45085068.44606796         19556990.01003615         147722095.9426877         66.8171250499326          102.8132533548469         3.876963310544418         -49747086.38737125        0.3679708388153813        
-139312473.9507159        45048443.86897733         19541351.96387309         147713209.0568114         66.81777762082386         102.8011164804569         3.876941029332023         -49747476.01286414        0.3749152832606342        
-139317091.1659568        45011818.7101987          19525713.66435322         147704330.3652456         66.81843521517972         102.7889792022535         3.876919557309356         -49747851.49312886        0.3818597277058871        
-139321706.3218768        44975192.96708666         19510075.11036306         147695459.8681963         66.81909752853339         102.7768414720896         3.876898851142421         -49748213.58525796        0.3888041721511399        
-139326319.4178295        44938566.63711189         19494436.30083748         147686597.5659423         66.81976427775918         102.7647032451854         3.876878870538994         -49748562.99323546        0.3957486165963928        
-139330930.4531728        44901939.71791472         19478797.23478303         147677743.4588297         66.82043519922937         102.7525644798597         3.876859577985584         -49748900.37252203        0.4026930610416457        
